Country,Query,Status,Match,Notes,ISO,Country.Name,WHO_Region
Libya,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes,,LBY,Libya,EMRO
Liechtenstein,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes,,LIE,Liechtenstein,EURO
Liechtenstein,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes,,LIE,Liechtenstein,EURO
Lithuania,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes,,LTU,Lithuania,EURO
Lithuania,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes,,LTU,Lithuania,EURO
Luxembourg,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes,,LUX,Luxembourg,EURO
Luxembourg,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes,,LUX,Luxembourg,EURO
Madagascar,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,No: GAI Misses Information,,MDG,Madagascar,AFRO
Madagascar,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes,,MDG,Madagascar,AFRO
Malawi,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes,,MWI,Malawi,AFRO
Malawi,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes,,MWI,Malawi,AFRO
Malaysia,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes,,MYS,Malaysia,WPRO
Malaysia,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,No: GAI Misses Information,,MYS,Malaysia,WPRO
Maldives,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes,,MDV,Maldives,SEARO
Maldives,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes,,MDV,Maldives,SEARO
Mali,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,No: GAI Misses Information,,MLI,Mali,AFRO
Mali,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,No: GAI Misses Information,,MLI,Mali,AFRO
Malta,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes,,MLT,Malta,EURO
Malta,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes,,MLT,Malta,EURO
